video,track_id,total_frames,MAD_mean,MAD_std,MAD_streak_at_p25,MSE_mean,MSE_std,MSE_streak_at_p25,SAD_mean,SAD_std,SAD_streak_at_p25,SSIM_mean,SSIM_std,SSIM_streak_at_p25,MS_SSIM_mean,MS_SSIM_std,MS_SSIM_streak_at_p25,GRAD_mean,GRAD_std,GRAD_streak_at_p25,CANNY_mean,CANNY_std,CANNY_streak_at_p25,OF_MAG_mean,OF_MAG_std,OF_MAG_streak_at_p25,OF_SPARSE_mean,OF_SPARSE_std,OF_SPARSE_streak_at_p25,MOG2_mean,MOG2_std,MOG2_streak_at_p25,DCT_mean,DCT_std,DCT_streak_at_p25,PHASE_mean,PHASE_std,PHASE_streak_at_p25,HIST_mean,HIST_std,HIST_streak_at_p25,PHASH_mean,PHASH_std,PHASH_streak_at_p25,MAD_streak10,MAD_streak20,MAD_streak30,MAD_streak60,MAD_streak100,MAD_streak150,MAD_streak200,MSE_streak10,MSE_streak20,MSE_streak30,MSE_streak60,MSE_streak100,MSE_streak150,MSE_streak200,SAD_streak10,SAD_streak20,SAD_streak30,SAD_streak60,SAD_streak100,SAD_streak150,SAD_streak200,SSIM_streak10,SSIM_streak20,SSIM_streak30,SSIM_streak60,SSIM_streak100,SSIM_streak150,SSIM_streak200,MS_SSIM_streak10,MS_SSIM_streak20,MS_SSIM_streak30,MS_SSIM_streak60,MS_SSIM_streak100,MS_SSIM_streak150,MS_SSIM_streak200,GRAD_streak10,GRAD_streak20,GRAD_streak30,GRAD_streak60,GRAD_streak100,GRAD_streak150,GRAD_streak200,CANNY_streak10,CANNY_streak20,CANNY_streak30,CANNY_streak60,CANNY_streak100,CANNY_streak150,CANNY_streak200,OF_MAG_streak10,OF_MAG_streak20,OF_MAG_streak30,OF_MAG_streak60,OF_MAG_streak100,OF_MAG_streak150,OF_MAG_streak200,OF_SPARSE_streak10,OF_SPARSE_streak20,OF_SPARSE_streak30,OF_SPARSE_streak60,OF_SPARSE_streak100,OF_SPARSE_streak150,OF_SPARSE_streak200,MOG2_streak10,MOG2_streak20,MOG2_streak30,MOG2_streak60,MOG2_streak100,MOG2_streak150,MOG2_streak200,DCT_streak10,DCT_streak20,DCT_streak30,DCT_streak60,DCT_streak100,DCT_streak150,DCT_streak200,PHASE_streak10,PHASE_streak20,PHASE_streak30,PHASE_streak60,PHASE_streak100,PHASE_streak150,PHASE_streak200,HIST_streak10,HIST_streak20,HIST_streak30,HIST_streak60,HIST_streak100,HIST_streak150,HIST_streak200,PHASH_streak10,PHASH_streak20,PHASH_streak30,PHASH_streak60,PHASH_streak100,PHASH_streak150,PHASH_streak200
20260508190608901_J92135174_hcDownloadP_Candy Forming M-C 3,1,202,7.4992,3.7022,14,324.7899,214.6644,14,7679.1782,3791.0624,14,0.2087,0.1024,12,0.2087,0.1024,12,40.8612,11.9235,15,0.1271,0.0291,11,0.8346,0.2965,11,0.7463,1.8464,18,0.144,0.3188,14,9.5692,1.9826,14,0.9268,4.2847,9,0.1208,0.0306,6,11.9406,5.7365,17,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
20260508190608901_J92135174_hcDownloadP_Candy Forming M-C 3,2,299,6.8488,2.8632,27,134.1175,199.4154,25,7013.1304,2931.9333,27,0.1736,0.1119,39,0.1736,0.1119,39,25.7263,9.776,27,0.1443,0.0259,6,1.0148,0.4023,27,0.7918,1.5754,20,0.0679,0.232,78,5.7497,1.7663,25,0.3942,1.1527,13,0.1748,0.0287,27,14.3679,4.6451,28,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,False,False,False,False,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False
20260508190608901_J92135174_hcDownloadP_Candy Forming M-C 3,3,259,5.2581,0.1934,24,63.8133,3.7564,26,5384.2432,198.008,24,0.1692,0.0143,50,0.1692,0.0143,50,19.6533,0.8686,21,0.0827,0.0057,4,0.6924,0.0206,5,1.2466,0.2413,8,0.0053,0.062,38,3.8536,0.0771,7,0.2744,0.0667,11,0.2328,0.0126,12,12.9884,1.0304,104,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,False,False,False,False,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,False,False
20260508190608901_J92135174_hcDownloadP_Candy Forming M-C 3,4,8,5.3589,2.9406,2,144.4934,136.3374,2,5487.5,3011.1557,2,0.1471,0.1262,2,0.1471,0.1262,2,36.2805,18.6913,2,0.1249,0.0537,2,0.6902,0.5608,2,0.594,0.5434,2,0.2865,0.4146,2,7.4386,3.3233,2,0.3449,0.2138,1,0.1029,0.0171,1,7.0,5.1962,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20260508191031529_J92135174_hcDownloadP_Candy Kneading Area_51_video 2,1,44,1.6605,2.3943,6,30.5051,87.5684,6,1700.3182,2451.7685,6,0.0296,0.1235,4,0.0296,0.1235,4,9.3687,9.5763,6,0.0332,0.0251,6,0.1112,0.4978,3,0.1689,0.4943,4,0.0591,0.2174,6,3.1388,1.5955,6,0.0729,0.1811,2,0.0608,0.0369,4,0.9091,3.9186,17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
20260508191031529_J92135174_hcDownloadP_Candy Kneading Area_51_video 2,2,97,4.0471,1.899,24,66.7906,55.9885,24,4144.2577,1944.5616,24,0.2181,0.1108,24,0.2181,0.1108,24,20.8362,8.1058,24,0.095,0.0284,9,0.6018,0.3266,9,1.8603,1.7703,8,0.0441,0.1229,26,5.3023,1.6612,24,1.7978,3.4847,9,0.1092,0.0442,9,11.134,6.324,12,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
20260508191031529_J92135174_hcDownloadP_Candy Kneading Area_51_video 2,3,6,8.2217,1.5741,1,197.3105,60.6785,2,8419.0,1611.926,1,0.4316,0.0635,2,0.4316,0.0635,2,37.1074,4.6101,1,0.133,0.022,2,1.0357,0.2785,1,10.2964,6.0908,1,0.4124,0.4182,2,7.5188,1.0155,1,5.4139,6.5121,2,0.1851,0.0359,1,24.0,2.8284,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20260508191031529_J92135174_hcDownloadP_Candy Kneading Area_51_video 2,9,19,0.9752,0.1593,2,13.4599,4.208,2,998.6316,163.1442,2,0.0057,0.0016,2,0.0057,0.0016,2,6.452,1.0204,2,0.0238,0.0042,2,0.0273,0.0071,2,0.0385,0.0092,2,0.0548,0.2228,2,2.7601,0.5395,2,0.0561,0.0286,2,0.0513,0.0051,3,0.0,0.0,19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
20260508191031529_J92135174_hcDownloadP_Candy Kneading Area_51_video 2,10,14,0.406,0.1363,2,0.8069,1.5003,2,415.7143,139.5966,2,0.0006,0.0001,2,0.0006,0.0001,2,2.4681,0.6727,2,0.0163,0.0045,2,0.0176,0.0062,2,0.7627,1.4044,3,0.0731,0.2571,12,0.542,0.217,2,0.0197,0.0229,2,0.0394,0.0169,2,0.1429,0.5151,13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
20260508191031529_J92135174_hcDownloadP_Candy Kneading Area_51_video 2,11,15,2.2925,2.1369,4,33.7327,53.1512,4,2347.5333,2188.2269,4,0.0814,0.0938,4,0.0814,0.0938,4,12.8663,10.0325,4,0.0239,0.0296,5,0.2716,0.3336,1,0.8702,1.9275,2,0.1062,0.2503,5,2.876,2.4561,4,0.2266,0.2558,3,0.0948,0.0559,2,6.0,7.1554,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
20260508191031529_J92135174_hcDownloadP_Candy Kneading Area_51_video 2,12,14,1.3984,1.0036,4,10.9316,23.1314,4,1432.0,1027.7104,4,0.0308,0.0577,4,0.0308,0.0577,4,6.9841,5.5654,4,0.0354,0.0278,3,0.1075,0.128,2,0.0844,0.1798,2,0.0847,0.2575,11,1.5615,1.4552,4,0.1315,0.1973,2,0.0899,0.0118,3,7.1429,5.111,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
